construction_type_name,description_x,u_w_per_m2_k,material_glazing_id_layers,description_y
BTAP-ExteriorWindow-FixedWindow-1,Curtainwall: Vision,2.4,1.0,"curtainwall 2 lites, 1/4"" each clear float,insulating including aluminum framing, zero frame thermal break"
BTAP-ExteriorWindow-FixedWindow-1,Curtainwall: Vision,2.2,9.0,"2 lites, 1/4"" each clear float,insulating including aluminum framing"
BTAP-ExteriorWindow-FixedWindow-1,Curtainwall: Vision,2.1,35.0,"kawneer 1600 UT System 1, 1"" glass, warm edge spacer, U=1.81W/m2K"
BTAP-ExteriorWindow-FixedWindow-1,Curtainwall: Vision,1.9,35.0,"kawneer 1600 UT System 1, 1"" glass, warm edge spacer, U=1.81 W/m2K"
BTAP-ExteriorWindow-FixedWindow-1,Curtainwall: Vision,1.73,36.0,"kawneer 1600 UT System 1, triple glazed, 1"" glass, warm edge spacer, U=1.25 W/m2K"
BTAP-ExteriorWindow-FixedWindow-1,Curtainwall: Vision,1.6,17.0,"curtainwall triple glazed U= 1.6 W/m2-K, 1/4"" each clear float,insulating including aluminum framing"
BTAP-ExteriorWindow-FixedWindow-1,Curtainwall: Vision,1.44,36.0,"kawneer 1600 UT System 1, triple glazed, 1"" glass, warm edge spacer, U=1.25 W/m2K"
BTAP-ExteriorWindow-FixedWindow-1,Curtainwall: Vision,1.4,36.0,"kawneer 1600 UT System 1, triple glazed, 1"" glass, warm edge spacer, U=1.25 W/m2K"
BTAP-ExteriorWindow-FixedWindow-1,Curtainwall: Vision,0.8,36.0,n/a see fibreglass window
BTAP-ExteriorWindow-FixedWindow-2,Mall Front Fixed Panels (window wall),2.4,4.0,"fixed mall front panels, aluminum finish 48' x 9' opening, zero frame thermal break"
BTAP-ExteriorWindow-FixedWindow-2,Mall Front Fixed Panels (window wall),2.2,12.0,"fixed mall front panels, aluminum finish 48' x 9' opening"
BTAP-ExteriorWindow-FixedWindow-2,Mall Front Fixed Panels (window wall),1.6,20.0,"triple glazed U= 1.6 W/m2-K, fixed mall front panels, aluminum finish 48' x 9' opening"
BTAP-ExteriorWindow-FixedWindow-2b,Aluminum Window Wall,2.69,37.0,"Starline 9600 Window wall, double glazed, 1 low-e and argon illed IGU  U=1.83 W/m2K"
BTAP-ExteriorWindow-FixedWindow-2b,Aluminum Window Wall,2.41,37.0,"Starline 9600 Window wall, double glazed, 1 low-e and argon illed IGU  U=1.83 W/m2K"
BTAP-ExteriorWindow-FixedWindow-2b,Aluminum Window Wall,2.1,37.0,"Starline 9600 Window wall, double glazed, 1 low-e and argon illed IGU  U=1.83 W/m2K"
BTAP-ExteriorWindow-FixedWindow-2b,Aluminum Window Wall,1.9,37.0,"Starline 9600 Window wall, double glazed, 1 low-e and argon illed IGU  U=1.83 W/m2K"
BTAP-ExteriorWindow-FixedWindow-2b,Aluminum Window Wall,1.73,38.0,"Starline 9600 Window wall, triple glazed, 2x low-e and argon filled IGU  U=1.01W/m2K"
BTAP-ExteriorWindow-FixedWindow-2b,Aluminum Window Wall,1.44,38.0,"Starline 9600 Window wall, triple glazed, 2x low-e and argon filled IGU  U=1.01W/m2K"
BTAP-ExteriorWindow-FixedWindow-2b,Aluminum Window Wall,1.4,38.0,"Starline 9600 Window wall, triple glazed, 2x low-e and argon filled IGU  U=1.01W/m2K"
BTAP-ExteriorWindow-FixedWindow-2b,Aluminum Window Wall,0.8,38.0,n/a see fibreglass window
BTAP-ExteriorWindow-OperableWindow-3,Aluminum Commercial Operable Sliders,2.4,5.0,"aluminum window: stock 5'x3' including framing and insulated glazing, zero frame thermal break"
BTAP-ExteriorWindow-OperableWindow-3,Aluminum Commercial Operable Sliders,2.2,13.0,aluminum window: stock 5'x3' including framing and insulated glazing
BTAP-ExteriorWindow-OperableWindow-3,Aluminum Commercial Operable Sliders,1.6,21.0,"triple glazed U= 1.6 W/m2-K, aluminum window: stock 5'x3' including framing and insulated glazing"
BTAP-ExteriorWindow-FixedWindow-4,Vinyl Commercial Picture Windows,2.4,6.0,"71""x35"" picture with insulating glass, low E, finished extensions and jambs, zero frame thermal break"
BTAP-ExteriorWindow-FixedWindow-4,Vinyl Commercial Picture Windows,2.2,14.0,"71""x35"" picture with insulating glass, low E, finished extensions and jambs"
BTAP-ExteriorWindow-FixedWindow-4,Vinyl Commercial Picture Windows,2.1,39.0,"Starline 7100 double glazed, 1/2"" aluminum spacer bar, no low-e, air filled IGU, U<2.1"
BTAP-ExteriorWindow-FixedWindow-4,Vinyl Commercial Picture Windows,1.9,40.0,"Starline 7100 double glazed, 1/2"" aluminum spacer bar, 1x low-e, argon filled IGU, U=1.59 w/m2K"
BTAP-ExteriorWindow-FixedWindow-4,Vinyl Commercial Picture Windows,1.73,40.0,"Starline 7100 double glazed, 1/2"" aluminum spacer bar, 1x low-e, argon filled IGU, U=1.59 w/m2K"
BTAP-ExteriorWindow-FixedWindow-4,Vinyl Commercial Picture Windows,1.6,40.0,"Starline 7100 double glazed, 1/2"" aluminum spacer bar, 1x low-e, argon filled IGU, U=1.59 w/m2K"
BTAP-ExteriorWindow-FixedWindow-4,Vinyl Commercial Picture Windows,1.44,41.0,"Starline 7100 double glazed, 13.6mm WE Spacer, 2x low-e, argon filled IGU, U=1.25W/m2K"
BTAP-ExteriorWindow-FixedWindow-4,Vinyl Commercial Picture Windows,1.4,41.0,"Starline 7100 double glazed, 13.6mm WE Spacer, 2x low-e, argon filled IGU, U=1.25W/m2K"
BTAP-ExteriorWindow-FixedWindow-4,Vinyl Commercial Picture Windows,0.8,41.0,n/a see fibreglass window
BTAP-ExteriorWindow-OperableWindow-5,Vinyl-Wood Clad Commercial Casement Windows,2.4,7.0,"6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs, zero frame thermal break"
BTAP-ExteriorWindow-OperableWindow-5,Vinyl-Wood Clad Commercial Casement Windows,2.2,15.0,"6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs"
BTAP-ExteriorWindow-OperableWindow-5,Vinyl-Wood Clad Commercial Casement Windows,1.6,23.0,"triple glazed U= 1.6 W/m2-K, 6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs"
BTAP-ExteriorWindow-OperableWindow-5b,Wood-Look Finish on Vinyl Casement Window,2.69,42.0,"wood finished look vinyl, Innotech Defender 76TS Double Glazed, U1.4 W/m2K"
BTAP-ExteriorWindow-OperableWindow-5b,Wood-Look Finish on Vinyl Casement Window,2.41,42.0,"wood finished look vinyl, Innotech Defender 76TS Double Glazed, U1.4 W/m2K"
BTAP-ExteriorWindow-OperableWindow-5b,Wood-Look Finish on Vinyl Casement Window,2.1,42.0,"wood finished look vinyl, Innotech Defender 76TS Double Glazed, U1.4 W/m2K"
BTAP-ExteriorWindow-OperableWindow-5b,Wood-Look Finish on Vinyl Casement Window,1.9,42.0,"wood finished look vinyl, Innotech Defender 76TS Double Glazed, U1.4 W/m2K"
BTAP-ExteriorWindow-OperableWindow-5b,Wood-Look Finish on Vinyl Casement Window,1.73,42.0,"wood finished look vinyl, Innotech Defender 76TS Double Glazed, U1.4 W/m2K"
BTAP-ExteriorWindow-OperableWindow-5b,Wood-Look Finish on Vinyl Casement Window,1.44,42.0,"wood finished look vinyl, Innotech Defender 76TS Double Glazed, U1.4 W/m2K"
BTAP-ExteriorWindow-OperableWindow-5b,Wood-Look Finish on Vinyl Casement Window,1.4,56.0,"wood finished look vinyl, Innotech Defender 76TS triple Glazed, U=0.94 W/m2K"
BTAP-ExteriorWindow-OperableWindow-5b,Wood-Look Finish on Vinyl Casement Window,0.8,43.0,"wood finished look vinyl, Innotech Defender 88PH Pro, triple glazed, U=0.76W/m2K"
BTAP-ExteriorWindow-FixedWindow-6,Aluminum Commercial Picture  Windows,2.4,8.0,"3'-4"" x 5' picture with insulating glass, zero frame thermal break"
BTAP-ExteriorWindow-FixedWindow-6,Aluminum Commercial Picture  Windows,2.2,16.0,"3'-4"" x 5' picture with insulating glass"
BTAP-ExteriorWindow-FixedWindow-6,Aluminum Commercial Picture  Windows,1.6,24.0,"triple glazed U= 1.6 W/m2-K, 3'-4"" x 5' picture with insulating glass"
BTAP-ExteriorWindow-FixedWindow-7,Fixed Storefront Glazing,2.69,44.0,"Kawneer 451 UT System, U=1.7 W/m2K, or Alumicor FlushGlaze 3400, triple glazed U=1.53 W/m2K"
BTAP-ExteriorWindow-FixedWindow-7,Fixed Storefront Glazing,2.41,44.0,"Kawneer 451 UT System, U=1.7 W/m2K, or Alumicor FlushGlaze 3400, triple glazed U=1.53 W/m2K"
BTAP-ExteriorWindow-FixedWindow-7,Fixed Storefront Glazing,2.1,44.0,"Kawneer 451 UT System, U=1.7 W/m2K, or Alumicor FlushGlaze 3400, triple glazed U=1.53 W/m2K"
BTAP-ExteriorWindow-FixedWindow-7,Fixed Storefront Glazing,1.9,44.0,"Kawneer 451 UT System, U=1.7 W/m2K, or Alumicor FlushGlaze 3400, triple glazed U=1.53 W/m2K"
BTAP-ExteriorWindow-FixedWindow-7,Fixed Storefront Glazing,1.73,44.0,"Kawneer 451 UT System, U=1.7 W/m2K, or Alumicor FlushGlaze 3400, triple glazed U=1.53 W/m2K"
BTAP-ExteriorWindow-FixedWindow-7,Fixed Storefront Glazing,1.44,44.0,n/a see fibreglass window
BTAP-ExteriorWindow-FixedWindow-7,Fixed Storefront Glazing,1.4,44.0,n/a see fibreglass window
BTAP-ExteriorWindow-FixedWindow-7,Fixed Storefront Glazing,0.8,44.0,n/a see fibreglass window
BTAP-ExteriorWindow-FixedWindow-8,Fixed Fibreglass Windows,1.44,45.0,"Cascadia Universal Series, double glazed, 2x low-e coatings, Stainless Steel Spacer, U=1.13W/m2K"
BTAP-ExteriorWindow-FixedWindow-8,Fixed Fibreglass Windows,1.4,45.0,"Cascadia Universal Series, double glazed, 2x low-e coatings, Stainless Steel Spacer, U=1.13W/m2K"
BTAP-ExteriorWindow-FixedWindow-8,Fixed Fibreglass Windows,0.8,46.0,"Cascadia Universal Series, triple glazed, 3x low-e coatings, tri-seal spacer, U=0.77W/m2K"
